«1»
sha-ÿ-d-ha*`	(n, I-n) become many
A+se-ha*`	(g̱, I3, stem he) be willing
ḵu-ł-ha*`	(g) wrestle
-ha*ˑ	move unseen or imperceptibly, ḵu-dax̱/ḵutx̱+ a-ÿa-na-ha/+anaha(`) star, ÿax̱+ḵuha season, +ÿa-ha`ÿi shadow, soul # ÿa-kw-g̱a-heˑÿag̱u/-heˑÿagu/+wukg̱aheˑÿagu spirit # ÿ-s-hatkw/-satkw (g, I) be fast # g-haˑ (neg) be visible
-ha*ˑ	move dirt or mass of small objs., ka- (∅ˑ, A-x̱) ka-dig; (ÿ)a-d- gather (intr), O-ÿa-s- (trans)
-haˑ	(∅ˑ) become located
ha`-	(dir.) here # ha`n- id., shkʼa`nde (< shkʼe+ha`n-de) give it here
ḵʼe`ł-(ÿ)a-ha`-kʼu	let’s pretend # yeˑł ?
ha`/ha	(sentence introductory) well, variant of ha`w
ha`eˑ(-kʼ)	(interj.) affection
ha`ha / hąhąˀ / ha`ˀ	(interj.) annoyance
ha`hiˑ / haˑy	(interj.) give it here, shkʼaˑy (< shkʼe+haˑy) id.
g-haˑ	(g, I) (neg.) be plainly visible. from ha*ˑ
daˑs(h)tluha;	(IT, AS) incisors [she says Tl]
tu-haˑÿi	nail
ha`w	hemlock branches
sʼige`di+ku-ha`wu	beaver tail
ha`w	(interj.) mild surprise; (sentence intro.) well, well what about that
yaˑw haniˑ=ʔaˑya	(word in songs) cf. Nootka haˑni ‘say’ (Swadesh) *yaˑw haniˑ=ʔaˑya (vocables usually ending first verse) < *yaˑ=hʷaˑniˑ=ʔa-ya “thus=one-says=this.is.it”
-ha`n*	(P3) stand, O-S-ha;n (I2?) raise O, adopt O, ku-ha`n-ti	orphan
k-ha`n*	(∅, A)	cut into strips, +ka-han-ti strips
ha`n-	hither $ ha`-
-haˑn/-waˑn/-ÿaˑn	1. and 2. plural indep. pron. suffix, +ḵu-haˑn / +ḵwaˑn dweller(s), people of a certain place
s-ha`t*	carry heavy obj. ku`-had-a instr. for carrying heavy obj.
s-ha`t*	(∅, A-x̱) cover (haˑt cover)
ḵu-ha`t*	(∅, A1) feel around (esp. for lice)

«2»
ha`t	current
sh+ka-ha`di	crazy
d-haˀt-k	(g, I) tremble due to nerve damage
k-s-haˀt*	herd
-hatkw	see -satkw
haˀtłʼ	shit $ haˀsʼ*, haˀchʼ
has	they, human pluralizer
-haˀsʼ*	become nauseated, haˀsʼ vomit # k-ł-haˀchʼi shameful $ haˀtłʼ
ł-ha`sh*	float
ł-ha`ch*	(∅) tingle
-haˀchʼi	$ haˀsʼ, haˀtłʼ
k-ha`kw*	(∅) suspect
k-ha;kw	(n-A) encourage
ka-haˑkw	fish eggs
-ka`kʼu	$ -ha`-kʼu let’s pretend
A+se-he	(I3 only) $ -ha*` be willing
he(ˑ)	(dem.) over here
-he`	see hi`
heˑ	(interj.) delight, also ha`eˑ(-kʼ)
-heˑÿag̱u-heˑÿagu	spirit $ -ha*ˑ
x̱a`he`wu/-hi`wu	gooseberries
na`heˀn	gambling stick (plain - see nag̱an)
-heˑn	(n, I) claim, (MS) O-x̱ʼe-∅-he°n-a` (?, A) pump O for information
-ÿi-ła-he`ł	(?) interj. used by shaman to make fish die
he(ˑ)ł	not $ tłeˑkʼ
k-hełʼk	(g, neg.) be weak, k-heʼłʼ-i # {hitłʼ,he;tłʼ} (interj.) how huge!
k-he`sh*	(n) become disgraced, ka-he`sh disgrace
(-)heˑx̱wa	charm
heˀk*	k- move in hyperactive manner, jump; x̱ʼe- moan

«3»
(u?)-hi`/-he`	(n, A-xʼ) pay shaman, hi`xʼ(i) payment to shaman
sh+j-hiˑ	(g, I) be evil
-hiˑ	$ ha`hiˑ
x̱a`hi`wu	he`wu
ḵu-ka-hin	(w. -t -ni`kw*) cranky
da-hiˑn	times < ha?
-hi`n*	pl. fish swim
(u)-hi`n	(∅ or n-prim hi`n) believe
k-hiˑn	mix with water, hiˑn water, tłeˑḵw+ka-hin-ti watermelon berries
hiˑn ge?	you see? < ʔiÿatiˑn
hit	house
-hi`ts*	(∅, A1)	singe fur
-hiˀsʼ*	(g, A) borrow
k-dl-hi`ch*	$ ÿi`ch
ÿ-hi`ch*	(∅) watch covertly # u-hi`ch (n, A) accuse
hi`xw*	(∅) bewitch, hiˑxu witchcraft
sha-hi`k*	(∅) become full (of solid matter)
a`n+da`-t+ka-na-hik	monkey (‘frisks around the ship’?)
-hu*ˑ	wade, swim on surface
k-hu?	(∅) T. suspect
hu	he, she $ u₂-
huhuhu / hohoho	(interj.) pain
.anahu` / ÿanahu` / ÿanahuˀ	rutabaga
huˑ	(interj.) # ʔahuˑ (interj.) comprehension
-hu`n*	(n, A1) sell
+hunx̱(w)	male’s older brother
-hu`t*	carry in apron
s-hu`t*	outrig canoe with plank, hu`di plank for outrigging
+hu`di	bark (of red cedar) $ +wu`t
a-hu?ł*	(?, A1) nod off to sleep
k-d-huˀtłʼ*	(∅) get wrinkled
huˑchʼ	that’s all
-hu`k*	give shout

«4»
hoho	thank you very much
ye`hoˑ	(interj.)
