«14»
waˀ	how	(much) # wa;nxʼas, waˀnixʼis
xʼe\sˀwa°	ptarmigan
+wan	edge
dl-waˀn*	(ø) get maggoty # wu\n maggots
-wa°n $ -ha°n
kˀuwa\mʼ 	here
+wat	mouth of river
-wat	$ sha`(wa)t woman
-waˀt*	(ø, A-X) stretch arms, wa`t span
-waˀt*	(g?) grow up, +waˀt (g?) grow up, +waˀt adult, ka-waˀt tumor
-wa`ł*	get hole(s), wu`ł hole
-wa`łʼ*	break
ł-wa`s*	become scorched, roasted by fire
wasˀ	bush ̀ -wuˀs'
ł-wa`s*	ask $ (u)-waˀsʼ* (n-prim.-wuˀsʼ) ask
+wash	check
-wash	$ -kˀaˀ wash
kʼe-wa`sh	(n,I) yawn
tˀa`waḵ	goose $tˀa`w
+wa`k	eye
we(°)	(dem.) there
tawe°	mountain sheep
weˀn-a	face powder $ -wu
-we`t	$ at
-weˀt	(g) menstruate, weˀtadi menstruant woman
we°sʼ	louse, gland
we;ksh	ulu
weˀxʼ	bullhead
«15»
