«16»
d-na*`	(∅, A3) drink
s-na*`	(∅ (ˑ), A-sʼ) become damp # ł- rub with oil, tallow # ne`sʼ tallow for rubbing
-na*ˑ	(∅) inherit, neˑxʼi / neˑxʼt inheritance
ł-na*ˑ	(-naˑ-, prog. -naˑn, pl. A-tʼ) carry bundles, g̱a-ł-naˑtʼadi / -naˑtʼani bundles
-na*ˑ	(w-) (-naˀ-, prog. -naˑn) (n, pl. A-tʼ) die # +na`wu corpse, na-na death
dzana	sour smelling fish (Aht. dzenax)
na	(interj.) “here!”
yeˀ ḵu-na	at (about) this time
na`	side, clan, people # -ÿa`-na`yi enemy
-na` / -nÿa`	area (suffixed to directional words $ precdg., niÿa
na`- / naˑ-	$ nan- upriver
ÿina`	$ niÿa` in the way of
k-u-naˀ / -naˀÿ	(n, A) send, tell to go
at wuna` ḵaˀwu	(IT) master of ceremonies
chʼu` +g̱u-/ḵu-naˀ	even though
g̱u-na+	other, different
+naˑ	on end of pointed object, covering body # ḵu-ł-ka-naˑ-xʼ / chʼa+kwanaˑxʼ / ł-ḵu-ka-nÿaˑ-xʼ in vain # ḵu-naˑ-x̱ daˑk/daˑḵ
łu`kanaˑ	member of secret society whose trademark is acting bestial and eating dogs
aganaˑ	(interj.) regret, distress
-naˀÿ	$ -naˀ
na`w	leaked-in water
naˑw	(Ch.) booze
nan-, na`-	upriver, north, naˑnax̱ from the north, na`-nÿa` Northern Tlingit
+ÿa-naˑtʼi	$ -.aˀtʼani lid
-na`ł*	(∅, caus. A-x̱/-xʼ) steam, d- (∅, A-sʼ) blow nose
ł-naˑłx̱	(g, I) have riches; na?łx̱ (Sw) largest variety of halibut
sha-ka-nałʼ*	(mot.) throw in a heap (fut. náałʼ)
-naˀtłʼ* / -naˀtsʼ*	(∅) become affected by being in water (wrinkle, swell)
łu-nas	nose ring

«17»
ta`kw-ʔa`nasi / -ʔa`nisi / ʔa`ne`si / -ʔa`ni-na`si	jellyfish
na`s	Nass R.
+na`si	intestines
-na`ts-kʼ	$ ḵa;na`ts-kʼ
-naˀtsʼ*	$ naˀtłʼ*
k-ł-naˀsh	shake
iḵ-naˀch	brass
naxw	halibut hook
k-naˀk*	(∅) form, shape # ka-nag-a form for shaping # da-na?k (Sw) stone found in deer
dl-naˀk*?	get numb
náksʼ	(IT, EN) small cold sore on tongue
-naˑkw	(n, A) treat with medicine, naˑkw medicine (C. diff?)
ḵʼa-naˑx̱an	fence (C. diff.)
náx̱ki	(IT, AS) tree needles accumulated under tree
shachk ka-nag̱-u	moss growing from muskeg
na`ḵ*	(P3) pl. stand, O-ÿa-s-na`ḵ* chase O
ji-na`ḵ*	(∅) leave (behind) # naḵ (pp.) leaving, away from
d-na`ḵw*	(∅) rot so as to fall apart, na`ḵw rotten wood
na`ḵw*	(∅, A-sʼ) fish with octopus as bait, naˑḵw octopus, type of gambling stick
A+ ne*`	(prog. -ne`n) (n, A3) work (on), # k-s- knit # A + ji-k-neˀÿ*/niˀÿ* (n) play with hands, twiddle one’s thumbs # yeˀ ji- (n, A3) work # O-shu-u- (n, A3) direct, send, impel O
ne	sea grass
ya`.a`.une / ya`.a`nane / yeˀ.a`nane	oldsquaw duck (onom. diff)
-neˑ/`	$ atsganiˑ
tsʼaneˀ	round split cedar basket (Ts.)
N-ÿa-ˀ a-ÿ-u-neˑ	(g, I3/I1 (?)) restrain?, respect
neˑ	(interj.) calling
tʼuka-neˑÿi / tʼaku- / +ku-	baby, cf. ni/ne
(yeˀ) ji-k-neˀÿ*/niˀÿ*	(n act) yéˀ jika`wanéˀy played with own hands, twiddled one’s thumbs, goofed off, fooled around
tsʼe`g̱i`neˑ / tsʼe`g̱i`ni(ˑ) / tsʼi`g̱i`ni(ˑ)	magpie
dashdane	(IT) suckerfish
ḵʼa`kaneˀ	deep dish
sakwneˑn	(Ch.) bread
-ne`t	$ .at
k-d-neˀt*	(∅) tremble
nakwneˑt / wukneˑt	(Ch.) priest, preacher
ne;tʼ	leech? worm?
ne`ł	home

«18»
-neˀtł*	get fat $ -niˀtł*
ł-neˀłʼ*	carry bulky object clasped against self # O-sha-ka-nełʼ* (EN) throw bunch of O carelessly
neˀłʼ	cedar bark basket
-ne`si	$ ta`kw-ʔa`nasi jellyfish
kaneˑst	(Rus.) cross
shaneˑtsa`	(Rus.) Easter bread
tła(`)x̱a-ne`sʼ	kingfisher $ naˀ rub
sh-neˀḵ*	get slushy
ne;g̱an	(CJ) rock wall fish trap
nex̱ʼw	cloudberries
A + ni*`/ne*`	(prog. ni`n/ne`n) become, do; yeˀ+ s-classif. pl. compact objects (not in a stack) P yeˀ sani`n
ni-	in ni-yis for the time of, in ni-ÿa` direction
atsganiˑ / atsgane`	(interj.) fright
-ni(ˑ)	$ tsʼe`g̱i`ne magpie
+niÿa` / +ÿina` / -nÿa`	in the way of, covering; +ge`-nÿa` for the sake of $ -na`
dl-niˀtł*/ne`tł*	(∅, g̱) get fat, ni`tł/ne`tł fatness
tłag̱anis / tag̱anis / taˀg̱anis	pole, sapling (from ta`g̱an-ÿis)
nis-	in nis-da`t last night < *ni-ÿis?
-nisi	$ ta`kw-ʔa`nasi jellyfish
niˀsʼ	sea urchin # a- (?) eat s.u.
ni`ch	beach, shoreline
-nix*	(∅) poop (defecate)
k-ni`k*	(n, A1) tell # k-ł-ni`k* (n-prim. -ni`k) tell story
gutguniksh	kind of owl
ni`kw	(∅, occ. nukch/nu(`)ch) aux. verb $ fg,
du-ni`kw*	(∅) wind blows, niˑkw breeze # -ni`kw* (∅, I2 (neuter), A-sʼ (active)) feel duwani`gʷ, ʔaÿanu`gʷ
ḵu-ni`kw*	(A1) act
O-k-u-ł-ni`kw	lack confidence in O, have one’s doubts about O
N-xʼ+niˀkw	(g, I) be annoyed, vexed by N, N gets under O’s skin; N-x̱ niˀgʷ (na event) tease, bother O, get under O’s skin
-niˑkw	(g, I) be sick, niˑkw sickness
-niˑgwałʼ	(n, A) paint, niˑgwałʼ paint
dz-niˀxʼ*	(I2) smell

«19»
O-k-sh-niˀkʼw*	(∅ event) turn up nose at # niˑkʼ (g, I) be neat, tidy, fastidious
yu`=ÿa-k-u-d-niˀkʼ*	(∅, yu`=I-g) pivot, swivel
tuˑxʼ#da`g=ḵu-k-ł-niˀkʼw*	N’s interest is piqued
ni`x̱* / ne`x̱*	(g̱, pl. A-tʼ) become safe, become healed # g̱a-ni`x̱i savior
niˀx̱ʼ	marble
nu	$ nuk*
ḵux̱de`-nu(;)	(IT) eddy, whirlpool, (IT) ḵux̱de`nú, Ath. nuˑ
sʼik-nuˑn	glacier bear, wolverine (diff.) # x̱a(`)-nuˀn (IT) brown bear, x̱a- (EN)
-nuˀtʼ*	(∅, pl. A-xʼ) swallow, +nu;tʼaÿi / +nu;tani palate
ḵu-sh-nuˀtłʼ*	() balk, refuse to cooperate
nuˀsk(w)	wolverine
nuˀts*	(∅, A-t) grin # ÿ-k-ł-nuˀdzi (g, I) be a grinner
k-d-nuˀts*	(∅) spoil, +nutsgu spoiled smell
nuˀsh	dead floating salmon
+nu;chʼi	gill bone
nu`k*	(imper. nu) (g̱) sit (g̱a-nu`k petrel) # ganx̱ nu`k pot for beside fire $ .a* sit; get bigger
nukt	blue/dusky grouse
ł-nukts	(g, I) be sweet # x̱ʼe-ł-nu;kchʼan (g, I) be extra delicious
-nukch/t?	(g, I) be helpless
nu?xʼ	shell # k-ł-nuˀxʼ-aḵw remove shell from
ÿ-k-d-nuˀkʼ	swivel, pivot
x̱a-sh-nu`kʼ	(?) have glossy fur
+nu`x̱u	rectum, (IT) large intestine of moose, ḵʼa-nu`x̱ labret, fish beard
