«32»
tła-	head? in +tła-g̱e`ÿi brain
-tła*ˑ	$ dla*?
-tła*`	(n, I1) # -tłe` (w-) (g, I) be stout # +tłe`n/tłen` (pl. +tłen-xʼ) (adj.) large
+tłaˀ	(voc. atłiˑ/atłeˑ/atłįˑ) mother # +tłaˀ-kʼw mother’s sister ¢ λa`kʼ
tłaxchʼ	dead branches
k-u-tłak*?	(?, A1) try to get O quiet
tłakw	always (in past), tłagu+ old
k-tła`kw*	investigate, (n-prim. -tła`kw) tell legend, tła`gu legend, cha(`)+tła`gu (interj.) surprise; ḵu-tła`kw* (∅, A1) whisper
tłaˀkw	quickly, in anger; (procl.) hurt, damaged
tłax̱	very
d-tła`x̱*	(∅) become moldy, tła`x̱ mold, sha-ł-tłaˑx̱ rocks whose tops are not covered by high tide
tłaˑḵ	sharp arrow, spear point
tłe(`)	simply, just, just then
O-ka-ł-tłe*	(non-∅) train O akawditłe`, cf. dla~°, tła~ˑ, tša~ˑ, dlex̱ʼw~
-tłe`, tłe`n	$ -tła`
ka-ł-tłe*	run away (avoiding responsibility)
-tłeˑ	$ +tłaˀ
dl-tłe?w*	(∅) start making a racket (?), se-d-tłe?w* (MS) (∅) yell or speak with loud harsh voice
-tłeˀtʼ*	(∅, A2) lick (T. slip)
a-dl-tłe`łkʼu	(n?, A) make string story, (tłe`łkʼu string story)
tłeˑł	$ tłeˑkʼ
tłeˑxʼ	one (tłeˀ-nax̱ one person, tłe`ḵaˀ twenty, tłekʼ-g̱a one by one) # tłe`k-de to one side # tłe`-ÿe one place # tłe`-ÿan coast
-tłeˀxʼw*	carry objs. clutched to body
tłeˑkʼ	no, tłeˑkʼ-ł/tłe(ˑ)ł/he(ˑ)ł not
tłe`x̱	always (in future), forever, for good
k-tłe`x̱w*	(∅, A2) plunge (scare fish with plunger)
(sha-)tłeˑḵw*/-tłe`ḵw*	(n, A-xʼ) grab one at a time, tłeˑḵw berry

«33»
-tłiˑ	$ +tłaˀ
-tłuˀxʼ*	move by pulling self with arms or rolling # ÿa- carry obj. clutched to self (IT)
tłu;x̱/tłuˑx̱ʼ	(?) bullhead
