«52»
s-xa*ˑ	pour
xan	$ xen baleen
tsʼu`tsxan	Tsimshian
xaˀna	evening $ xe`
-xaˀt*	pull, tighten # (∅-E3) sg. become fastened, extend, hand, Adv. + k- sg. resemble (cf. -xwaˀsʼ*), xa`d-a veil
s-xaˀtʼ*	pull with rope, drag, xatʼ-a sled, yu-wa-shu-xa;tʼi apron # ł- (g̱) sg. obj. becomes suspended
xaˀtł	iceberg
xa`s	(Ch.) horse, cow, ox
-xaˀsʼ*	(∅-A1) scrape, slime (fish), +xaˀsʼ(i) fish skin
k-xaˀtsʼ*	(n) sky becomes clear, xaˀtsʼ clear sky
-xa`sh*	(∅-, n-A1) cut, xash-a saw, at+xash-ti cut leather
a-xa`ch*	(n) become given up, despaired of
s-xa`k*	(g) become bare of flesh, skin, +xa`gi/xaˑk skeleton, xaˑk empty shell # sh- (∅-A1) steam shell open # ḵu-k-xa?k? (g̱?) weather becomes dry and crisp, ḵu-xa`k dry weather $ -xu`k*, -xakw
ł-xaˑk	(g-I) be fragrant
k-ł-xa`kw*	(∅-A-łʼ) grind, whip up (soapberries), ka-xagw-a pestle, xakwłʼi soapberries
xakw	sandbar
tu-da-xakw / tuḵ-da`-xakw	basket with rattle in lid $ -xa`k*
+sha-ka-xa`gu	skull $ -xa`k*
xe`/xi`	(incorp. noun) dusk, +xe`ÿi (mountain) shadow # xaˀn-a evening 
dz-xeˀn*	(∅) get scabs, j-(∅) (salmon) gets white fungus, xe`n old salmon
xen/xan	baleen, plastic
na`xe`n	Chilkat blanket

«52v»
xi;sʼ	nit

«53»

d-xeˀt*	(∅) get wind knocked out # -xe`t-ka bosom
xeˑdu	comb
xe`tł	thunderbird
x̱ʼa-xełʼ(-g)	drool
ḵʼe`kaxetłʼk	Jacob’sberry
a-dl-xe`s*	(∅-A2) catch (bird) with inverted container by pulling away prop with string, xe`s-a (bird) trap or snare (id.)
-xeˀkʼw	(river) draws in water # s-xeˀkʼw (n-A) take in (hot) liquid, slurp 
xi`	$ xe` dusk
a-s-xiˀn*	(?) frown (a yát awsixín)
ne` xi`n+te/ta (IT)	black rock used to make paint (blue?)
xiˑn	blue fly
š-xi`t	make furrow, plow xiˑt furrow # k- (∅-A2) push, poke with stick, j- paint design, write, ku`xid-a/-xiˀd-a brush, pen # ḵu-k-s- (∅-A1) make furrows # k-s-xiˀt* move branch, brush # k-d-xiˀt*/xiˀt end of stick moves, time passes (as measured by clock) # k-j-xiˑt (g-I) have design, wan-ka-sh-xiˑt starry flounder # tłʼanaxiˑdaḵw/-dakw (2) legendary “Property Woman” [NOTE: "clawed creature resembling bear" crossed out]
-xiˀtʼ*	(g̱-prim. -xiˀtʼ, A-k(w) A-t (red.)) sweep # ł- (∅-A1) scrape cambium, xitʼ-a broom, bark scraper
sha-xi`tł*/xiˀtł*	move due to air or water current
-xiˀtł*	(∅-A) fish with herring rake, xitł-a/xidl-a herring rake
-xiˀtł*	$ -x̱iˀtł* hem
k-d-xiˀłʼ*	become troubled, (lit. become rubbed off), ka-xiˀłʼ trouble # k-ł-xiˀłʼi (g-I) be troublesome # k- (∅-A1, A-x̱) rub off, ka-xiłʼ-a eraser, ku`-xiˀłʼ-a tangled-up moss
xiˀtłʼi	crowberry (2) xi°łʼi [NOTE: unclear if "2" or "Z"]
k-xiˀsʼ*	(sea mammal) dives in arc # xiˀsʼ bow (of boat), +xiˀsʼi shin
k-xiˀsʼ*	become tangled, kaxiˑsʼ wire
-xiˀch*	(∅) use all one's strength; ka- (weight of sth.) causes to bend over
+da`-ka-xi;ji/-jiˑxu	(barrel) hoop, +tu-ka-xiˀji (drum) frame, (IT) xi`j-aˑ trigger (of trap)

«54»
-xi`x*	compact obj. moves through space, moves, moves rapidly, falls, ÿ- occur, shu- become depleted, j- (sh-xi`x* > shi`x*) run # xixchʼ frog
s-xu*ˑ	(∅-A-x̱) cook with steam, xu;w/xweˑx̱ steam bath, ka-xweˑx̱, high bush cranberry
k-xu*?	(∅-A?) weigh down with rocks, xuˑw pile of rocks, rock weight
+xu	pubic hair
(ÿ)-xu`n*	pl. move faces (cf. -.a*ˑ), ÿan-xu`n driftlog pile
-xu`n*	get ready to go
-xu`n/xu`n*	(g̱, g) get thin, lose weight
xuˑn	north wind # xun-ka “North wind birds”
a-xu`ł*/x̱u`ł	(∅, A1) copulate
ÿ-ł-xuˀts*	(∅-A-x̱) char, xu`dzi charred wood, charcoal $ xwaˀts*
xuˀts	brown bear # sh+k-ł?-xu?ts (∅) try to overpower
ł-xuˀsh	(n-A-tʼ) singe, scorch
-xu`k*	(∅, caus. A2) dry, +xu`k dry $ -xa k* [NOTE: original has blank space between “a” and “k” in this example]
