«66»
k-u-kʼa*?	(n-I1?) be too small
+ÿax̱akʼa;wu	crosspieces of a canoe
tsʼakʼaˀwash/tsʼi-	necktie-style dry fish
k-sh-kʼa?n*	(ø) shoo away # sh-kʼa`n (?) (g-I1) hate ¢ xʼa`n
chʼa+kʼat	at least (also cha kʼi`-ka-t)
-kʼaˀtłʼ*	(ø) become silent, not say anything # kʼatłʼ-gi`-nax̱ silently
-kʼatskʼu	$ +ÿats-kʼu
-kʼaˑsʼ	(g-I) have missing tooth
-kʼatsʼ	(g-I) be sharp +kʼatsʼi sharp point, sha-kʼatsʼ double-ended dagger # (x̱a-)ła-kʼachʼ porcupine
kʼa`gan	stickleback $ -xʼa`k*
kʼakw	small owl
a-d-kʼaˀkʼw/kʼeˀkʼw	(?) prowl
kʼaˑx̱ʼ	fish kidney {congealed blood along backbone of fish}
-kʼeˑ	(g-I3) be good (neg. sh- be bad) # ḵu-kʼe*` (g̱-I3) weather is good (neg. ḵu-sh-kʼeˑ (g-I3) weather is bad) # ł-kʼe (g-I3, A-kw make peace) make good, cf. xʼeˑ-g̱a
shkʼe(`)/kʼe(`)	how about (that), what if, look at (that), shkʼaˑy (< shkʼe+ha`hiˑ), shkʼa`nde (< shkʼe+ha`n-de) give it here
j-kʼeˀn*	jump, ku`-kʼen-a sandhopper # x̱ʼe-k-du- (A-xʼ) plop (of mush boiling)
kʼe`t*	$ at
k-kʼe`t*	move pl. stored goods # (EN) O-sha- (ø, A2) unpack O
-kʼe?t*	$ -ge?t* walk quietly
kʼe`t	berry sprouts $ at 
+kʼi	base, stem, rump; cf. IT asxʼi`tde
kʼałułkʼiˑn	(DeL) small snowshoes to break trail
kʼinkʼ	aged fish heads
-kʼiˀtʼ*	(ø-A?) eat all up # k-d- all go together # ḵu- (ø-A1) pick berries
kʼi`ł-ja	storm
wan-kʼi-nax̱	(IT) quietly, under breath

«67»
sh+k-j/dl-kʼiˑtłʼ/kʼi;łʼ	(g-I) be silly, try to act young
kʼitsʼan	fruitless bush; cf. -xʼisʼ*
+ła-kʼiˀchʼ	back of head; cf. xʼiˀsʼ (ji-k-łi) wrist
kʼuntsʼ	swamp plant (death camass?), potato
chʼa a`n-kʼuˑnax̱	calmly, without anger (IT chʼa a`ni)
-kʼu`t*	bounce, rebound
+kʼuˀłʼ(i)	backside, buttocks
-kʼu`ts*	(n) snap, break
-kʼuˀtsʼ*/kʼu`ts*	(ø-A1) pluck
+kʼuˀchʼ	butt of spear, hind end $ kʼuˀłʼ
kʼuˀx	marten
k-j-kʼu`x*	knock lightly, kʼux-ja noun
k-sh-kʼuˀx̱ʼ*	(ø) b ecome sticky, kʼuˀx̱ʼ pitch # k-sh-kʼuˀx̱ʼu (g-I) be sticky



